 Run	    Fitness	                                                                                                                                                                                                Solution
  23	        260	000019000032189c0032189c0032189c0032189c000019000032189c0032189c0032189c0032189c000019000032190000321900003219000032189c00001900003219000032190000321900003219000000190000001900003219000032190000321900
  23	        252	00321900003219000032190000321900003219000032190000321900003219000032190000321900001919000032190000321900003219000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  23	         50	00191900001919000019190000191900001919000019190000191900001919000019190000191900001919000032189c0032189c0032189c00191900001919000032189c0032189c0032189c001919000032189c0032189c0032189c0032189c0032189c
  23	         48	0032189c0032189c0032189c0032189c0032189c0032189c0032190000321900003219000032189c003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900
  23	          3	00191900001919000019190000191900001919000032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c
  23	         -1	00000000000019000000190000001900000019000000000000000000000019000000190000001900000000000000000000191900000019000000190000000000000000000000000000000000000000000000000000000000000000000000000000000000
  24	        268	000000000032189c0032189c0032189c000000000000000000191900001919000019190000000000001919000019190000321900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  24	        254	00321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000191900001919000019190000321900
  24	        246	00191900003219000032190000321900001919000019190000321900003219000032190000191900001919000019190000321900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  24	        181	000019000032189c0032189c0032189c0032189c0032190000321900003219000032189c0032189c003219000032190000000000003219000032189c00321900003219000032190000321900003219000032190000321900003219000032190000321900
  24	          5	001919000019190000191900001919000019190000191900001919000019190000191900001919000032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c
  24	        -59	00001900000019000000000000000000000000000000190000001900000000000000000000000000000019000000190000000000000000000000000000001900000019000000000000000000000000000032190000001900000000000000000000000000
  25	        270	0032189c0032189c0032189c0032189c0032189c0000190000321900003219000032190000001900000019000032190000321900003219000000190000001900001919000019190000191900000019000000190000191900001919000019190000001900
  25	        264	000000000032189c0032189c0032189c000000000032189c0032189c0032189c0032189c0032189c001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  25	        252	00000000000000000000000000000000000000000000000000000000001919000000000000000000001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  25	        115	00001900003219000032190000321900003219000000190000321900003219000032190000321900000000000000000000000000000000000032190000000000000000000000000000000000000000000000000000000000000000000000000000000000
  25	         30	00000000000000000000000000000000000000000000190000001900000019000000190000001900000019000032190000321900003219000000190000001900000019000032190000001900000019000000190000001900000019000000190000001900
  25	          2	00191900001919000032189c0032189c0032189c001919000032189c0032189c0032189c0032189c001919000032189c0032189c0032189c0032189c001919000032189c0032189c0032189c0032189c00191900001919000032189c0032189c0032189c
  26	        256	00000000000000000000000000000000000000000000000000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  26	        225	00001900000019000000190000001900000019000000190000001900003219000032190000001900000019000000190000321900003219000000190000001900000019000032190000321900000019000000190000001900000019000000190000001900
  26	        219	00191900001919000019190000191900001919000000000000191900001919000019190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
  26	         76	00000000000000000000190000001900000019000000000000191900001919000019190000001900000000000019190000191900001919000000190000000000000019000019190000191900000019000000000000000000000019000000190000001900
  26	          2	000000000032190000321900000019000000000000321900003219000032189c0032189c0032189c00321900003219000032189c0032189c0032189c00321900003219000032189c0032189c0032189c00000000003219000032189c0032189c00000000
  26	          1	00191900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900
  27	        270	00001900001919000019190000191900001919000000190000191900001919000019190000191900000019000019190000191900001919000019190000001900001919000019190000191900001919000000190000191900001919000019190000191900
  27	        249	00000000000000000019190000191900001919000000000000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  27	        219	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000191900001919000019190000000000000000000000000000191900001919000000000000000000000000000019190000191900
  27	        142	00000000000000000000000000000000001919000000190000000000000000000000000000191900000019000000000000000000000000000019190000001900000019000000000000001900001919000000190000001900000019000000190000191900
  27	         60	00321900001919000019190000191900000000000032190000191900001919000019190000191900003219000019190000191900001919000019190000321900001919000019190000191900001919000032190000191900001919000019190000191900
  27	          0	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000191900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
  28	        266	00191900001919000019190000191900000019000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000001900
  28	        254	00321900003219000019190000191900001919000032190000321900001919000019190000191900003219000032190000191900001919000019190000321900003219000019190000191900001919000032190000321900001919000019190000191900
  28	        219	00000000000000000000000000000000000000000000000000000000000000000019190000000000000000000000000000191900001919000019190000000000000000000000000000000000000000000000000000000000000000000000000000000000
  28	        210	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019190000191900001919000000000000000000000000000019190000191900000000000000000000000000000000000000000000000000
  28	        135	00001900000019000032190000001900000019000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900
  28	         -4	00321900003219000032189c0032189c0032189c00321900003219000032189c0032189c0032189c000000000032189c0032189c0032189c0032189c00000000000000000032189c0032189c000000000000000000000000000000000000000000000000
  29	        281	00191900001919000019190000191900001919000000000000191900001919000019190000191900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
  29	        260	00000000000000000032190000321900003219000000000000001900003219000032190000321900000019000000190000321900003219000032190000001900000019000032190000321900003219000000190000001900003219000032190000321900
  29	        253	00001900000019000019190000191900001919000000190000001900001919000019190000191900000000000019190000191900001919000019190000001900000019000019190000191900001919000000190000001900001919000019190000191900
  29	        131	00000000000019000000190000001900000019000000000000321900003219000032190000001900000000000032190000321900003219000000190000000000003219000032190000321900000019000000000000001900000019000000190000001900
  29	          4	0032189c000019000000190000001900000019000019190000001900000019000000190000001900001919000019190000191900000019000000190000191900000019000000190000001900000019000019190000001900000019000000190000001900
