 Run	    Fitness	                                                                                                                                                                                                Solution	    Fitness	                                                                                                                                                                                           Next_Solution
   3	        267	0032189c00001900000000000032189c00321900000000000032189c003219000032189c000000000032189c0000000000321900000000000000000000321900000019000032190000191900001919000000000000001900000000000000000000321900	        265	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000019190000321900000000000032189c00001900001919000032189c00191900000000000000190000191900
   3	        265	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000019190000321900000000000032189c00001900001919000032189c00191900000000000000190000191900	        254	001919000019190000000000000000000032189c0000000000191900000000000032189c00001900003219000032189c0000000000191900000019000000000000321900003219000019190000321900000000000019190000321900000019000032189c
   3	        254	001919000019190000000000000000000032189c0000000000191900000000000032189c00001900003219000032189c0000000000191900000019000000000000321900003219000019190000321900000000000019190000321900000019000032189c	        277	00000000000019000032189c0032189c00191900000000000032189c0032190000001900000000000032189c0000000000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900
  21	        277	00000000000019000032189c0032189c00191900000000000032189c0032190000001900000000000032189c0000000000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900	        276	00000000000019000032189c0019190000191900000000000032189c0032190000001900000000000032189c0000190000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900
  21	        276	00000000000019000032189c0019190000191900000000000032189c0032190000001900000000000032189c0000190000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900	        275	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900
  21	        275	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900	        205	0000000000321900001919000032189c001919000032190000321900003219000000190000000000000000000000000000321900000000000032189c000019000032189c001919000032189c0032190000000000000019000032189c0000000000321900
  21	        205	0000000000321900001919000032189c001919000032190000321900003219000000190000000000000000000000000000321900000000000032189c000019000032189c001919000032189c0032190000000000000019000032189c0000000000321900	        204	001919000032189c000019000000000000191900000000000000190000000000000019000032189c000000000000190000321900001919000000190000000000001919000000000000191900001919000000000000000000000000000000000000191900
  21	        204	001919000032189c000019000000000000191900000000000000190000000000000019000032189c000000000000190000321900001919000000190000000000001919000000000000191900001919000000000000000000000000000000000000191900	          6	0019190000000000000000000000000000001900003219000032189c001919000032189c00001900000019000019190000191900000000000019190000321900000000000019190000001900000000000032189c00191900000000000000190000191900
  21	          6	0019190000000000000000000000000000001900003219000032189c001919000032189c00001900000019000019190000191900000000000019190000321900000000000019190000001900000000000032189c00191900000000000000190000191900	        277	00000000000019000032189c0032189c00191900000000000032189c0032190000001900000000000032189c0000000000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900
  22	        277	00000000000019000032189c0032189c00191900000000000032189c0032190000001900000000000032189c0000000000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900	        276	00000000000019000032189c0019190000191900000000000032189c0032190000001900000000000032189c0000190000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900
  22	        276	00000000000019000032189c0019190000191900000000000032189c0032190000001900000000000032189c0000190000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900	        275	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900
  22	        275	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900	        271	00000000000019000032189c0019190000191900000000000032189c0032190000001900000000000032189c0000190000001900000000000032190000321900000019000032190000191900000019000032189c00001900000000000000000000321900
  22	        271	00000000000019000032189c0019190000191900000000000032189c0032190000001900000000000032189c0000190000001900000000000032190000321900000019000032190000191900000019000032189c00001900000000000000000000321900	        266	00000000000000000000000000000000000019000032190000191900003219000032189c00001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900
  22	        266	00000000000000000000000000000000000019000032190000191900003219000032189c00001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900	        189	00000000000019000032189c0019190000191900000000000032189c0019190000001900000000000032189c0000190000000000000000000032190000191900000019000032190000191900003219000000000000001900000000000000000000321900
  22	        189	00000000000019000032189c0019190000191900000000000032189c0019190000001900000000000032189c0000190000000000000000000032190000191900000019000032190000191900003219000000000000001900000000000000000000321900	        278	00000000000019000032189c0032189c00191900000000000032189c0032190000001900000000000032189c0000000000321900000000000032190000321900000019000032190000191900003219000000190000001900000000000000000000321900
