Run,Fitness,Blocks
17,2.704787016,16448 64 64 64 16448 16448 64 64 64 16448 16448 64 64 64 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
17,2.384546041,64 64 64 64 64 32832 32832 32832 32832 64 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832
17,1.516921282,32831 16448 16448 16448 16448 32832 32832 32832 16448 16448 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 64 64 32832 32832 32832
17,0.713858664,32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 0 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832
17,0.059460759,32832 16448 16448 16448 16448 64 64 16448 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64
17,0.01164053,32832 32832 64 64 64 32831 32831 32831 64 64 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831
18,2.722278118,16448 16448 16448 16448 16448 16448 64 32832 16448 16448 16448 32832 32832 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
18,2.551735401,64 64 64 64 64 32832 32832 64 64 64 32832 32832 32832 32832 64 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832
18,1.723376751,16448 0 0 0 0 16448 16448 0 0 0 16448 32832 32832 32832 0 32832 32832 32832 32832 0 32832 32832 32832 32832 32832
18,1.682989836,32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 16448 32832 32832 32832 32832 16448 32832 32832 32832 32832 32832 32832 32832
18,1.101240516,32832 32832 32832 32832 32832 32832 0 0 0 32832 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18,0.0214338,16448 64 64 64 16448 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64
19,2.623272419,16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 0 16448 16448 16448 16448 0 16448 16448 16448 16448 16448 16448 16448
19,2.570567608,16448 16448 64 16448 16448 16448 32832 32832 32832 16448 32832 32832 32832 32832 32832 16448 32832 32832 32832 16448 16448 32832 32832 32832 16448
19,2.519146442,16448 16448 16448 16448 16448 16448 32832 32832 32832 16448 32832 32832 32832 32832 32832 16448 32832 32832 32832 16448 16448 16448 32832 16448 16448
19,2.468334198,64 64 64 64 64 32832 64 64 64 64 32832 32832 32832 64 64 32832 32832 32832 32832 64 32832 32832 32832 32832 32832
19,1.909316182,0 0 0 0 0 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832
19,1.533882499,16448 16448 16448 16448 16448 16448 32832 32832 32832 16448 32832 32832 32832 32832 16448 32832 32832 32832 32832 32832 32832 32832 32832 32832 16448
20,2.733711958,32831 32831 32831 32831 32831 32831 16448 16448 16448 32831 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 32831 16448 16448 16448 32831
20,2.679098606,16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 32832 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
20,2.083752632,32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32831 32832 32832 32832 32832 32831 32831 32831 32832 32832 32831 32831 32831 32831 32832
20,1.959316969,16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 0 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
20,1.890328169,32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 0 0 0 32832 0 0 0 0 0 0 0 0 0 0
20,0.039675906,32831 32831 32831 32831 32831 32831 32831 0 32831 32831 32831 16448 0 16448 32831 32831 32831 16448 32831 32831 32831 32831 32831 32831 32831
21,2.709928513,16448 16448 16448 64 64 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
21,2.686609745,16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 64
21,2.432312965,16448 16448 16448 64 64 16448 16448 16448 16448 64 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 0 16448 16448 16448 0
21,2.255987883,32831 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832
21,2.015562534,32832 64 64 64 64 32832 16448 16448 64 64 0 16448 16448 16448 64 0 16448 16448 16448 64 0 32832 16448 16448 64
21,0.918824553,32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 0 0 0 0 0
22,2.690237999,16448 16448 16448 16448 16448 64 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832
22,2.52800107,32832 16448 16448 64 64 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
22,2.346197128,32831 32831 16448 32831 32831 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 0 16448 16448 16448 0
22,0.721432507,0 0 0 0 0 0 0 0 0 0 0 0 0 32832 0 0 0 0 0 0 0 0 0 0 0
22,0.218418896,32832 32832 64 64 64 32832 64 64 64 64 32832 0 64 64 64 32832 0 64 64 64 32832 0 64 64 64
22,0.056286234,32832 32832 32831 32831 32831 32832 32832 16448 16448 16448 32832 32832 64 16448 16448 32832 32832 16448 16448 16448 32832 32832 32832 16448 16448
23,2.60008502,64 32831 32831 32831 32831 64 32831 32831 32831 32831 64 32832 32832 32832 32831 64 32832 32832 32832 32832 64 64 32832 32832 32832
23,2.519668579,32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 16448 32832 32832 32832 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
23,0.501320481,16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 32831 32831 32831 16448 16448 32831 32831 32831 16448 32831 32831 32831 32831 32831
23,0.477709532,32831 32831 32831 32831 32831 32831 32832 32832 32832 32831 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832
23,0.026551818,16448 16448 16448 16448 16448 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831
23,-0.009734181,0 64 64 64 64 0 0 64 64 64 0 0 16448 64 64 0 0 0 0 0 0 0 0 0 0
24,2.683867455,0 32831 32831 32831 0 0 16448 16448 16448 0 16448 16448 32832 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
24,2.540032864,32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 16448 16448 16448 32832
24,2.456653833,16448 32832 32832 32832 16448 16448 32832 32832 32832 16448 16448 16448 32832 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
24,1.813831091,64 32831 32831 32831 32831 32832 32832 32832 32831 32831 32832 32832 0 32832 32831 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832
24,0.051769003,16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831
24,-0.592379332,64 64 0 0 0 64 64 0 0 0 64 64 0 0 0 64 64 0 0 0 32832 64 0 0 0
25,2.6997931,32831 32831 32831 32831 32831 64 32832 32832 32832 64 64 32832 32832 32832 64 64 16448 16448 16448 64 64 16448 16448 16448 64
25,2.643583775,0 32831 32831 32831 0 32831 32831 32831 32831 32831 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
25,2.520749331,0 0 0 0 0 0 0 16448 0 0 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
25,1.145808458,64 32832 32832 32832 32832 64 32832 32832 32832 32832 0 0 0 0 32832 0 0 0 0 0 0 0 0 0 0
25,0.297310948,0 0 0 0 0 64 64 64 64 64 64 32832 32832 32832 64 64 64 32832 64 64 64 64 64 64 64
